ssdl:pid,ssdl:scoringSummary,ssdl:totalScoring,ssdl:dimensions
1890-Gladev-EMU,"S, Coro di fanciulli, Coro, keyb","S
Coro di fanciulli S
Coro 1: S
Coro 2: S
(Coro di fanciulli A)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
keyb",14.5 x 18 cm
1891-Pearls-EMU,"Coro di fanciulli, Coro","Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B",20.5 x 13.5 cm
1895-Gospel-EMU,"V (3), Coro, org (keyb)","S
A
T
Coro S
Coro A
Coro T
Coro B
org (keyb)",20 x 13.5 cm
1895-Chris2-EMU,,,
1896-Classc-EMU,"V (5), Coro di fanciulli, Coro, keyb","S
Mezzo-S
A
T
B
Coro di fanciulli S (2)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
keyb",19 x 15 cm
1899-Oldpla-EMU,"V, Coro, (bugle), (pf)","V
Coro V (4)
(bugle)
(pf)",25 x 17 cm
19xx-Gospe1-EMU,,,
19xx-Gospe2-EMU,,,
1901-Hymnal-EMU,Nil,Nil,12 x 8 cm
1901-Junior-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",15 x 9 cm
1901-Showal-EMU,"V (4-6), Coro, keyb","S (2)
A (2)
(T)
(B)
Coro S
Coro A
Coro T
Coro B
keyb",18 x 13.5 cm
1904-Pathwa-EMU,,,21 x 14 cm
1909-Songso-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
191x-Hymnsf-EMU,,,15.5 x 10.5 cm
1910-Sacred-EMU,,,17 x 25 cm
1914-Newgos-EMU,,,19.5 x 13.5 cm
1916-Worshi-EMU,,,20 x 14 cm
1922-Victo2-EMU,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",
1925-Excell-EMU,,,21.5 x 15 cm
192x-Songsf-EMU,,,23 x 15.5 cm
1911-Sacred-EMU,,,
1852-Psalms-UKY,,,12 x 8 cm
1860-Sabbat-UKY,,,12 x 15 cm
1860-Select-UKY,,,13.5 x 8.5 cm
1867-Taboro-UKY,,,18 x 26 cm
1874-Gospel-UKY,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1880-Popula-UKY,Nil,Nil,14 x 9 cm
1889-Starof-UKY,"V (6), Coro, org","S
A
T (2)
B (2)
Coro Treble (2)
Coro A
Coro T 
Coro B
org",15 x 24.5 cm
1889-Voiceo-UKY,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Sprechstimme
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: 
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20.5 x 14.5 cm
1899-Songso-UKY,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14.5 cm
1908-Christ-UKY,,,14 x 18.5 cm
1909-Songso-UKY,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",20.5 x 13.5 cm
1925-Hymnso-UKY,,,20.5 x 15 cm
1853-Dyersp-UKY,Nil,Nil,12.5 x 8 cm
1860-Sacred-UKY,,,23.5 x 14.5 cm
1866-Tefilo-UKY,,,16.5 x 12 cm
1905-Twenty-UKY,,,32 x 24.5 cm
1913-Eureka-UKY,,,20 x 14 cm
1919-Hampto-UKY,,,26 x 18 cm
191x-Americ-UKY,,,31 x 23 cm
1921-Elmhur-UKY,"(V), Coro, keyb","(S)
(A)
Coro S
Coro A
Coro T
Coro B
keyb",15.5 x 21 cm
1908-Bethan-MTS,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A (2)
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20.5 x 14 cm
1909-Breado-MTS,"V (2), Coro, keyb","S
A
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
keyb",19.5 x 13.5 cm
1910-Kingsp-MTS,"V (4), Coro, keyb","S
A
Contra-A
T 
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1913-Praise-MTS,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1921-Gospe1-MTS,,,
1922-Hispra-MTS,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1924-Shinin-MTS,,,20 x 13 cm
1925-Blesse-MTS,,,20.5 x 13.5 cm
1875-Gospel-UMI,,,20.5 x 14 cm
1885-Epwort-UMI,,,21 x 15 cm
1891-Epwort-UMI,,,21 x 16 cm
1863-Soldie-UMI,Nil,Nil,12.5 x 7.5 cm
1864-Fillmo-UMI,,,16.5 x 25.5 cm
1866-Tefilo-UMI,,,16.5 x 12.5 cm
1872-Golden-UMI,"V (2-4), Coro di fanciulli, Coro, keyb","S
A
(T)
(B)
Coro di fanciulli 1: S 
Coro di fanciulli 2: S
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
keyb",13 x 17 cm
1879-Lieder-UMI,,,12.5 x 8 cm
1866-Singin-UMI,,,22.5 x 14 cm
1854-Nation-UMI,,,15.5 x 11 cm
1878-Gospel-UMI,,,21 x 13.5 cm
1919-Shouty-UMI,,,30 x 23.5 cm
1860-Christ-UMI,,,12 x 8 cm
1905-Method-UMI,,,22 x 15 cm
1890-Evange-UMI,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T (1-2)
Coro B (1-2)
keyb",20.5 x 14 cm
1888-Glorio-UMI,,,20 x 14 cm
1851-Psalmi-UMI,,,
1867-Slave1-UMI,,,
1867-Slave2-UMI,,,
1873-Joyaco-UMI,"V (4), Coro, org, (pf)","S
A
T
B
Coro Treble (2)
Coro A
Coro T (2)
Coro B (1-2)
org
(pf)",16 x 24 cm
1885-Wondro-UMI,"V (2-5), Coro di fanciulli, Coro, org","S (1-2)
A (1-2)
(T)
Coro di fanciulli S
Coro 1: S
(Coro 2: S)
(Coro di fanciulli A)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
org",
1890-Noteso-UMI,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B",
1909-Songso-UMI,,,
1918-Hampto-UMI,,,
1921-Gospel-UMI,,,30 x 23 cm
192X-Americ-UMI,,,
1854-Hymnsf-UKY,Nil,Nil,12 x 8 cm
1854-Southe-UKY,Coro,"Coro Treble (2)
Coro Counter
Coro Air
Coro B",15 x 24 cm
1871-Israel-UKY,,,19 x 12.5 cm
1883-Gospel-UKY,"V (3-4), Coro, keyb","S (2)
A (1-2)
T
Coro S
Coro A
Coro T
Coro B
keyb",21 x 16 cm
1886-Workan-UKY,,,15 x 18 cm
1892-Living-UKY,,,21 x 15 cm
1899-Notes2-UKY,,,15 x 19 cm
1899-Reviva-UKY,,,19.5 x 13.5 cm
1901-Malequ-UKY,,,22.5 x 15.5 cm
1910-Alexan-UKY,"V (3), Coro, keyb","S
A
T
Coro S (2)
Coro A
Coro T 
Coro B 
keyb",21 x 14 cm
1829-Chahta-UTL,,,15 x 9 cm
1829-Cherok-UTL,,,12 x 8 cm
1835-Shorts-UTL,,,4.5 x 9.3 cm
1835-Triump-UTL,,,14.5 x 9 cm
1854-Cherok-UTL,,,13 x 8 cm
1858-Chahta-UTL,,,14.5 x 10 cm
1866-Potewa-UTL,,,10.5 x 6.5 cm
1888-Cherok-UTL,,,14.5 x 10.5 cm
1892-Shirai-SBT,,,
1901-Gospe1-SBT,,,
1917-Synago-SBT,,,35 x 28 cm
1845-Southe-SBT,,,
1857-Sacred-SBT,,,16 x 25 cm
1872-Chocta-SBT,,,
1885-Wondro-SBT,,,
1895-Gospel-SBT,"V (6), Coro, org (pf)","S (2)
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org (pf)",
1897-Riches-SBT,,,
1874-Fillmo-SBT,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1875-Gospel-SBT,"V (3), Coro, keyb","S (2)
A
Coro S
Coro A
Coro T
Coro B
keyb",
1879-Favori-SBT,,,
1887-Jubile-SBT,,,
1892-Glorio-SBT,,,
1897-Gantvo-SBT,"Coro di fanciulli, Coro, (b)","Coro di fanciulli S
Coro di fanciulli A
(Coro T)
Coro B
(b)",
1898-Fillmo-SBT,,,
1901-Gospe2-SBT,,,
1909-Minist-SBT,"V (2), Coro, keyb","S
T
Coro S
Coro A
Coro T
Coro B
keyb",
1910-Reviva-SBT,,,
1922-Praise-SBT,,,
1925-Harbor-SBT,,,
1890-Gemsan-SBT,,,
1850-Rurals-BRU,,,
1858-Prayer-BRU,,,
1861-NeuerL-BRU,,,
1863-Collec-BRU,,,
1867-Dedica-BRU,,,
1869-Childs-BRU,,,
1873-Vocalc-BRU,Nil,Nil,
1875-Singin-BRU,,,
1876-Psalte-BRU,,,
1877-Transl-BRU,Nil,Nil,
1888-Reviva-BRU,,,
1891-Melodi-BRU,"V (8-11), Sprechstimme (14), Coro di fanciulli, keyb","S (5)
A (1-2)
T (1-2)
B (1-2)
Sprechstimme (14)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro T
Coro B
keyb",
1897-Poetic-BRU,,,
1898-Tedeum-BRU,,,
18xx-LibbyP-BRU,,,
1900-Crowni-BRU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
keyb",
1904-Bestgo-BRU,,,
1906-Sonsof-BRU,,,
1911-Hymnfo-BRU,Nil,Nil,
1913-Mensgo-BRU,,,
1914-Gladpr-BRU,,,
1915-Search-BRU,,,
1916-Hitthe-BRU,,,
1917-Hymnf1-BRU,,,
1918-Mother-BRU,Nil,Nil,
1843-Church-BRU,,,
1867-Christ-BRU,,,
1868-Hymnst-BRU,,,
1872-Voiceo-BRU,,,
1875-Angels-BRU,,,
1876-Progra-BRU,Nil,Nil,
1877-Twelft-BRU,,,
1880-Jubile-BRU,Nil,Nil,
1880-Origin-BRU,Nil,Nil,
1885-Fewmor-BRU,,,
1888-Masoni-BRU,Nil,Nil,
1893-Conqu2-BRU,,,
1894-Bringt-BRU,,,
1900-Songsf-BRU,"V (6-7), Coro di fanciulli, Coro, org","S
A
T (2)
(Bariton)
B (2) 
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",
1905-Mymoth-BRU,,,
1905-Withhe-BRU,"V (4-5), Coro, fl, keyb","S
A
Mezzo-S (Bariton)
T
(B)
Coro di fanciulli S
Coro 1: S (2)
Coro 2: S (2)
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro T
Coro B
fl
keyb",
1910-Kingsm-BRU,"V (2), Coro, (fl), keyb","S
A
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro 1: S
Coro 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro 1: A
Coro 1: T
Coro 2: T
Coro 1: B
(vl)
(fl)
keyb",
1912-Exhor1-BRU,,,
1914-PilotT-BRU,,,
1916-Deepri-BRU,,,
1917-Albumo-BRU,,,
1918-Childr-BRU,,,
1919-Dontbe-BRU,,,
1922-Gospel-BRU,,,
1861-Soldi2-BRU,,,
1844-Hymnbo-UKY,Nil,Nil,13 x 8 cm
1851-Psalmi-UKY,,,16 x 24 cm
1854-Psalmi-UKY,,,16.5 x 10.5 cm
1854-Singer-UKY,,,15.4 x 11 cm
1865-Christ-UKY,,,13.5 x 9 cm
1867-Psalms-UKY,,,14 x 9 cm
1887-Gospel-UKY,,,20.5 x 14 cm
1899-Tearsa-UKY,,,21 x 15 cm
1908-Bookof-UKY,,,13.5 x 8.5 cm
1921-Temple-UKY,,,19.5 x 13.5 cm
185x-Annive-SBT,,,11.5 x 14.5 cm
1898-Lieder-SBT,,,18.5 x 21.5 cm
1845-Select-EMU,,,13.5 x 8.5 cm
1873-Vocalt-EMU,,,22.5 x 14 cm
1916-Newson-EMU,,,
192x-Gospel-EMU,,,
1849-Virgin-MTS,,,10.5 x 7.5 cm
1850-Timbre-MTS,,,16 x 25 cm
1854-Social-MTS,,,12.5 x 8 cm
1855-Sabbat-MTS,,,15.5 x 10.5 cm
1856-Congre-MTS,,,16.5 x 25 cm
191x-Reviva-MTS,,,20 x 13.5 cm
1861-Pilgri-MTS,,,32.5 x 23.5 cm
185x-Theres-MTS,,,35 x 27.5 cm
1924-Gospel-UKY,,,19.5 x 13.5 cm
1848-Hesper-EMU,,,
1851-Nakcok-EMU,,,
1875-Himnos-EMU,,,
1925-Mellow-EMU,,,
1925-Temple-EMU,,,
1881-Temper-MTS,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",
1892-WideAw-MTS,,,
1898-Aposto-MTS,"V (4), Coro, pf","S
A
T
B
Coro 1: S (Treble)
Coro 2: S (Treble
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
pf
b",
1903-Eureka-MTS,"V (5-6), Coro di fanciulli, Coro, keyb","S
(A)
T (2)
B (2)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1907-Bealls-MTS,"V (4-6), Coro, keyb","S
A
T (1-2)
B (1-2)
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1908-Silver-MTS,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1870-Prizex-SBT,"V (8-9), Coro di fanciulli, Coro, keyb","S (7)
A
(T)
Sprechstimme (1-6)
Coro di fanciulli S
Coro 1: S
(Coro 2: S)
(Coro di fanciulli A)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
keyb",
1906-SongEv-SBT,,,
1907-Folks1-SBT,,,
1907-Folks2-SBT,,,
1915-Alexan-SBT,,,
1915-Gospel-SBT,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1857-Primit-UKY,,,
1876-Polish-UKY,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
189x-Hallss-UKY,,,
1909-Gospel-UKY,"V (3), Coro, keyb","S
A
T
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1925-NewSon-UKY,,,
1859-Oriol1-BRU,"V (1-4), Coro di fanciulli, Coro, melodeon (pf)","S
(A)
(T)
(B)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro 1: S
Coro 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro 1: A
Coro 2: A
Coro T
Coro 1: B
Coro 2: B
melodeon (pf)",
1860-Deutsc-BRU,,,
1873-Bibles-BRU,"S, (Sprechstimme), Coro, melodeon","S
(Sprechstimme)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
melodeon",
1873-Spirit-BRU,,,
1879-Corona-BRU,"V (2), Coro, keyb","S
A
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1881-NoranI-BRU,,,
1884-Tuskeg-BRU,,,
1885-Harves-BRU,,,
1890-Positi-BRU,,,
1895-Gospel-BRU,,,
1899-Songsa-BRU,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
18xx-Whispe-BRU,,,
1900-Recita-BRU,,,
1901-OLordo-BRU,Nil,Nil,
1903-SweetH-BRU,,,
1906-Edenec-BRU,,,
1909-Cherok-BRU,,,
1909-Sevens-BRU,,,
1915-Hymnal-BRU,,,
1916-Diamon-BRU,,,
1916-MySavi-BRU,,,
1918-Newvic-BRU,,,
1923-UnionH-BRU,"V, Coro, keyb","V
Coro S
Coro A
Coro T
Coro B
keyb",
1890-Singer-EMU,,,
1859-Narrat-UMI,,,
1891-Otterb-UMI,,,
1882-Songsf-UMI,,,17 x 24 cm
1879-Gospel-UMI,,,20 x 13 cm
1877-Grandc-UMI,,,34 x 13 cm
