PID,ssdl:notation,location,Date,ssdl:shortTitle,Long,Lati
1853-Timbre-MTS,Seven-shape Aikin,"Philadelphia, PA;Pittsburg, PA;Cincinnati, OH;Chicago, IL;Indianapolis, IN;New York, NY;St. Louis, MO;Baltimore, MD;Louisville, KY;Atlanta, GA;Savannah, GA",1853,The Timbrel of Zion,-75.15;-79.9833;-84.45;-87.65;-86.15;-74;-90.1833;-76.6;-85.75;-84.3833;-81.1,39.95;40.4333;39.15;41.85;39.7667;40.7;38.6167;39.2833;38.25;33.7333;32.0833
1853-Harpof-MTS,Four-shape,"New York, NY",1853,Harp of the South,-74,40.7
1852-Romber-MTS,Round,"Boston, MA",1863,The Romberg Collection of Sacred Music,-71.05,42.35
1850-Golden-MTS,Round,"Hartford, CT",1850,The Golden Lyre,-72.6833,41.75
1843-Manual-MTS,Round,"Baltimore, MD",1843,Manual of Catholic Melodies,-76.6,39.2833
1833-Select-UTL,Nil,"New Echota, [GA]",1832,The Gospel According to Matthew,0,0
1846-Cherok-UTL,Round,"Boston, MA",1846,The Cherokee Singing Book,-71.05,42.35
1860-Maskok-UTL,Nil,"Marion, AL",1860,M??sk??ke Hymns,-87.3167,32.6167
1866-Cherok-UTL,Round,"Philadelphia, PA",1866,Cherokee Hymn Book,-75.15,39.95
1875-Gospel-UTL,Round,"Cincinnati, OH;New York, NY;Chicago, IL",1875,Gospel Hymns and Sacred Songs,-84.45;-74;-87.65,39.15;40.7;41.85
1880-Nakcok-UTL,Nil,"New York, NY",1880,Nakcokv Esyvhiketv,-74,40.7
188x-Mvskok-UTL,Nil,"New York, NY?",1880,Mvskoke Nettvcako Cokv-heckv Cokv Esyvhiketv,-74,40.7
1887-Gospel-UTL,Seven-shape Aikin,"Cincinnati, OH;New York, NY;Chicago, IL",1887,Gospel Hymns No. 5,-84.45;-74;-87.65,39.15;40.7;41.85
1892-Nusdvu-UTL,Nil,nan,nan,,0,0
1906-Tsalag-UTL,Nil,nan,1906,Cherokee Hymns,0,0
1910-Baptis-UTL,Nil,"Achille, OK",191x,Baptist Hymn Book,-96.3833,33.8333
1917-Mvskok-UTL,Nil,"Philadelphia, PA",1917,The Muskokee S. S. Song Book,-75.15,39.95
1920-Hallel-UTL,Seven-shape Aikin,"Nashville, TN",19xx,Hallelujah Songs,-86.761,36.154
1926-Nakcok-UTL,Nil,"Philadelphia, PA",1926,Nakcokv Esyvhiketv,-75.15,39.95
1847-Sacred-SBT,Round,"Boston, MA",1847,The Sacred Harp,-71.05,42.35
1851-Songso-SBT,Nil,"Charleston, SC",1851,Songs of Zion,-79.9167,32.7667
1853-Hymnsf-SBT,Nil,"Richmond, VA",1853,Hymns for the Sunday Schools of the Baptist Churches,0,0
1854-Sweets-SBT,Nil,"Catlettsburg, KY",1854,The Sweet Songster,-82.6,38.4
1856-Simple-SBT,Nil,"Charleston, SC",1856,Simple Rhymes,-79.9167,32.7667
1857-Annive-SBT,Round,"Cincinnati, OH",1857,Anniversary Hymns and Music,-84.45,39.15
1859-HymnsF-SBT,Nil,"Richmond, VA",1859,Hymns,-77.45,37.55
1860-Hymnss-SBT,Nil,"Baltimore, MD",1860,"Hymns, Selected and Original, for Sunday-Schools of the Evangelical Lutheran Church",-76.6,39.2833
1862-Sunday-SBT,Nil,"Macon, GA",1862,The Sunday School Bell,-83.6167,32.8333
1865-Sunday-SBT,Nil,"Greenville, SC",1865,The Sunday School Hymn Book,-82.3833,34.85
1867-Gladti-SBT,Round,"Baltimore, MD",1867,Glad Tidings,-76.6,39.2833
1870-Vocali-SBT,Round,"Cincinnati, OH",1870,The Vocalist,-84.45,39.15
1871-Linton-SBT,Round,Cincinnati,1871,Linton's Sparkling Gems,-84.45,39.15
1871-NewChr-SBT,Numeral,"Cincinnati, OH",1871,New Christian Psalmist,-84.45,39.15
1873-NewBa2-SBT,Seven-shape Aikin,"Memphis, TN",1873,The New Baptist Psalmist and Tune Book,-90.0333,35.1333
1878-Newgos-SBT,Round,"Cincinnati, OH?",1878,New Gospel Music,-84.45,39.15
1881-Nearer-SBT,Round,"St. Louis, MO",1881,Nearer my God to thee!,-90.1833,38.6167
1897-Select-SBT,Round;Seven-shape Hood,"Louisville, KY",1897,Selections from Cheerful Songs,-85.75,38.25
186x-Little-SBT,Nil,"Greenville, SC",1863,The Little Sunday School Hymn Book,-82.3833,34.85
1865-Newcel-SBT,Nil,"Greenville, SC",1865,New Celebration Hymns,-82.3833,34.85
190x-Callne-SBT,Seven-shape Aikin;Round,"Fort Worth, TX",190x,The Call,-97.3167,32.7167
1894-Hymnss-SBT,Nil,"Columbus, GA",1894,Hymns,-84.9833,32.45
1919-Whenmi-SBT,Round,nan,1919,When Millions Come Pouring In,0,0
1884-Kleine-SBT,,"Cincinnati, OH; Chicago, IL; St. Louis, MO; New York, NY",1884,Der Kleine Psalter,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1887-Hymnsn-SBT,Round,"Chicago, IL;New York, NY",1887,Hymns New and Old,-87.65;-74,41.85;40.7
1888-Favori-SBT,Round;Numeral staff,"Cincinnati, OH",1888,Favorite Hymns,-84.45,39.15
1889-Stouth-SBT,Nil,"Atlanta, GA",1889,The Stout Hymn Book,-84.3833,33.7333
1891-Choice-SBT,Nil,"Louisville, KY",1891,The Choice,-85.75,38.25
1891-Hymnsn-SBT,Round,"Louisville, KY",1891,Hymns New and Old,-85.75,38.25
1892-Manly1-SBT,Nil,"Louisville, KY",1892,Manly's Choice,-85.75,38.25
1892-Manly2-SBT,Round,"Louisville, KY",1892,Manly's Choice,-85.75,38.25
1895-Dawnin-SBT,Seven-shape Aikin,"Waco, TX",1895,The Dawning Light,-97.1333,31.5333
1895-Spirit-SBT,Round,"Dayton, OH",1895,Spirit and Life No. 2,-84.1833,39.75
1899-Salvat-SBT,Round,"Cincinnati, OH",1899,Salvation Melodies,-84.45,39.15
1900-Church-SBT,Round,"Nashville, TN",1900,Church Hymns and Gospel Songs,-86.761,36.154
1900-Sacre1-SBT,Round,"Chicago, IL",1900,Sacred and Secular Selections,-87.65,41.85
1901-Lastin-SBT,Round,"Cincinnati, OH;Louisville, KY;Nashville, TN",1901,Lasting Hymns,-84.45;-85.75;-86.761,39.15;38.25;36.154
1901-Sunday-SBT,Round,"St. Louis, MO",1901,Sunday-School Hymnal,-90.1833,38.6167
1902-Sacred-SBT,Seven-shape Aikin,"Kansas City, MO;Cincinnati, OH;Dallas, TX",1902,Sacred Songking,-84.45;-94.5667;-96.8,39.15;39.0833;32.7833
1904-Praise-SBT,Round,"St. Louis, MO;Indianapolis, IN",1904,Praises to the Prince,-90.1833;-86.15,38.6167;39.7667
1905-Newson-SBT,,"Philadelphia, PA;New York, NY",1905,New Songs of the Gospel No. 2,-75.15;-74,39.95;40.7
1908-Gemsof-SBT,Round,"Baltimore, MD",1908,Gems of Christmas Song,-76.6,39.2833
1908-Progra-SBT,Round,"Philadelphia, PA",1908,Programme and Music for the Baptist Anniversaries,-75.15,39.95
1909-Melodi-SBT,Round;Seven-shape Aikin,"Louisville, KY",1909,Melodious Songs,-85.75,38.25
1909-Newglo-SBT,,"Dalton, GA;Dallas, TX",1909,New Glory Songs,-84.9667;-96.8,34.7667;32.7833
1909-Primit-SBT,Round,"St. Joseph, MO",1909,The Primitive Baptist Hymnal,-94.8333,39.7667
1909-Singet-SBT,,"St. Louis, MO;Chicago, IL",1909,Singet dem Herrn,-90.1833;-87.65,38.6167;41.85
1909-Starof-SBT,Round,"Dalton, GA;Dallas, TX",1909,Star of the Morning,-84.9667;-96.8,34.7667;32.7833
1912-Bestre-SBT,Round,"Dalton, GA;Dallas, TX;Chattanooga, TN",1912,Best Revival Songs,-84.9667;-96.8;-85.3,34.7667;32.7833;35.0333
1913-Emanue-SBT,Seven-shape Aikin,"Fort Worth, TX; Tupelo, MS",1912,Emanuel's Praise,-97.3167;-88.7,32.7167;34.25
1913-Songsa-SBT,Round,"Dalton, GA;Dallas, TX",1913,Songs and Hymns,-84.9667;-96.8,34.7667;32.7833
1914-Songso-SBT,Round;Seven-shape Aikin,"Zion City, IL",1914,Songs of Power,-87.8167,42.4333
1914-Studen-SBT,Round,"Kansas City, MO",1914,Student Volunteer Hymnal,-94.5667,39.0833
1915-Kingof-SBT,Round,"Indianapolis, IN; St. Louis, MO",1915,The King of Kings,-86.15;-90.1833,39.7667;38.6167
1915-Redemp-SBT,Seven-shape Aikin,"Ft. Worth, TX",1915,Redemption Hymns,-97.3167,32.7167
1915-Songha-SBT,Seven-shape Aikin,"Waco, TX; Memphis, TN",1915,The Song Harvest,-97.1333;-90.0333,31.5333;35.1333
1918-Northf-SBT,,"East Northfield, MA",1918,Northfield Hymnal No. 3,-72.45,42.6833
1919-Hesju1-SBT,Round,"New York, NY",1919,Negro Spirituals,-74,40.7
1919-Hesju2-SBT,Round,"New York, NY",1919,Negro Spirituals,-74,40.7
1920-Gospel-SBT,Seven-shape Aikin,"Fort Worth, TX",1920,Gospel Power,-97.3167,32.7167
1923-Silver-SBT,Seven-shape Aikin,"Bethlehem, GA",192x,Silver Carols,-83.7,33.9167
1924-Ourjoy-SBT,Seven-shape Aikin,"Fort Worth, TX",1924,Our Joyful Praise,-97.3167,32.7167
1925-Hymnso-SBT,,"Chicago, IL",1925,Hymns of Praise Number Two,-87.65,41.85
1925-KingJe-SBT,Round,"Chicago, IL",1925,King Jesus Is A-Listening,-87.65,41.85
1925-Singhi-SBT,Round;Seven-shape Aikin,"Chicago, IL",1925,Sing His Praise,-87.65,41.85
1931-Evange-SBT,Round,"Springfield, MO",1931,Evangel Songs,-93.2833,37.2
1931-Glorio-SBT,,"Kansas City, MO",1931,Glorious Gospel Hymns,-94.5667,39.0833
1857-Notesa-SBT,Nil,"Charleston, SC",1857,Notes and Questions for the Oral Instruction of Colored People,-79.9167,32.7667
1888-Temple-SBT,Round,"Cincinnati, OH",1888,The Temple of Praise,-84.45,39.15
1900-Newson-SBT,,"Philadelphia, PA",1900,New Songs of the Gospel,-75.15,39.95
1900-Sacre2-SBT,Seven-shape Aikin,"Waco, TX",1900,Sacred Chimes,-97.1333,31.5333
1905-Psalli-SBT,Round,"St. Louis, MO",1905,Psallite,-90.1833,38.6167
19xx-Robins-SBT,Seven-shape Aikin,"Charlotte, NC",1903,Robinson's Gospel Voices,-80.8333,35.2167
1903-Hymnso-SBT,Round,"Dalton, GA;Dallas, TX",1903,Hymns of Glory,-84.9667;-96.8,34.7667;32.7833
1908-Reviva-SBT,Round,"Dayton, VA",1908,Revival Echoes,-78.9333,38.4
1911-Harpof-SBT,Seven-shape Aikin,"Nashville, TN",1911,The Harp of Glory,-86.761,36.154
1911-Newson-SBT,Round,"Dalton, GA;Dallas, TX",1911,New Songs of the King,-84.9667;-96.8,34.7667;32.7833
1914-Glorio-SBT,Seven-shape Aikin,"Lawrenceburg, TN",1914,Glorious Refrain,-87.3333,35.2333
1916-Gospel-SBT,Seven-shape Aikin,"Fort Worth, TX",1916,Gospel Herald,-97.3167,32.7167
1919-Hymnso-SBT,Round,"Chattanooga, TN",1919,The Hymns of the Cross,-85.3,35.0333
1919-Majest-SBT,Seven-shape Aikin,"Fort Worth, TX",1919,Majestic Melodies,-97.3167,32.7167
1929-Souli1-SBT,Round,"Chattanooga, TN; London, Ontario",1929,Soul Inspiring Songs,-85.3;-81.25,35.0333;42.9667
1929-Souli2-SBT,Seven-shape Aikin,"Dayton, TN",1929,Soul Inspiring Songs,-85,35.4833
1924-Gospel-SBT,Seven-shape Aikin,"Knoxville, TN; Texarkana, AR; Texarkana, TX",1924,Gospel Sunshine,-83.9167;-94.0333,35.95;33.4333
1924-Gracea-SBT,Round;Seven-shape Aikin,"Kansas City, MO",1924,Grace and Glory Carols,-94.5667,39.0833
1924-Songpr-SBT,Seven-shape Aikin,"Fort Worth, TX",1924,Song Praise,-97.3167,32.7167
1925-Christ-SBT,Round,"Birmingham, AL; Dallas, TX",1925,Christian Praise,-86.8;-96.8,33.5167;32.7833
1910-Reviva-SBT,Seven-shape Aikin,"Fort Worth, TX",19xx,Revival Tidings,-97.3167,32.7167
1873-Amaran-UKY,Round,"Nashville, TN",1872,The Amaranth,-86.761,36.154
1900-Beauti-UKY,Round,"Cincinnati, OH",1900,Beautiful Songs of Zion,-84.45,39.15
1914-Carmin-UKY,Round,"St. Louis, MO; Indianapolis, IN",1914,Carmina Sacra,-90.1833;-86.15,38.6167;39.7667
1871-Songki-UKY,,"Chicago, IL",1871,The Song King,-87.65,41.85
1874-Hallow-UKY,Round,"Cincinnati, Oh;Chicago, IL;St. Louis, MO;New York, NY",1874,Hallowed Songs,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1878-Hymna2-UKY,Round,"Cincinnati, OH;New York, NY",1878,Hymnal of the Methodist Episcopal Church,-84.45;-74,39.15;40.7
1879-Hourso-UKY,Round,"Cincinnati, OH;New York, NY",1879,Hours of Song,-84.45;-74,39.15;40.7
1890-Finest-UKY,Round,"Chicago, IL",1890,The Finest of the Wheat,-87.65,41.85
1843-Dupuys-UKY,Nil,"Louisville, KY",1843,Dupuy's Hymns and Spiritual Songs,-85.75,38.25
1850-Hymnsf-UKY,Nil,"New York, NY",1850,Hymns for the Use of the Methodist Episcopal Church,-74,40.7
1851-Christ-UKY,Numeral,"Louisville, KY",1851,The Christian Psalmist,-85.75,38.25
1858-Christ-UKY,Nil,"Dayton, OH",1858,The Christian Songster,-84.1833,39.75
1866-Christ-UKY,Nil,"Dayton, OH",1866,The Christian Hymn Book,-84.1833,39.75
1872-Collec-UKY,Nil,"Covington, OH",1872,"A Collection of Psalms, Hymns, and Spiritual Songs",-84.35,40.1167
1872-Gloryc-UKY,Round,"Cincinnati, OH",1872,The Glory,-84.45,39.15
1878-Hymna1-UKY,Nil,"Cincinnati, OH; New York, NY",1878,Hymnal of the Methodist Episcopal Church,-84.45;-74,39.15;40.7
1895-Voice2-UKY,Seven-shape Aikin,"Nashville, TN",1895,Voice of Praise,-86.761,36.154
1925-Bookof-UKY,Round,"New York, NY",1925,The Book of American Negro Spirituals,-74,40.7
1853-Shawml-UKY,Round,"New York, NY",1853,The Shawm,-74,40.7
1870-NewChr-UKY,Round;Numeral staff;Eureka clef,"Cincinnati, OH",1870,The New Christian Choralist,-84.45,39.15
1871-Sparkl-UKY,Round,"Cincinnati, OH",1871,Sparkling Jewels for the Sunday School.,-84.45,39.15
1872-Hymnso-UKY,,nan,nan,,0,0
1886-Carolb-UKY,Round,"Cincinnati, OH",1886,The Carol,-84.45,39.15
1894-Tearsa-UKY,Seven-shape Aikin;Round,"Louisville, KY",1894,Tears and Triumphs,-85.75,38.25
1897-Tearsa-UKY,Round,"Louisville, KY",1897,Tears and Triumphs No. 2,-85.75,38.25
1902-Singin-UKY,Seven-shape Aikin,"Dalton, GA; Dallas, TX",1902,Singing for Joy,-84.9667;-96.8,34.7667;32.7833
1906-Creamo-UKY,Round,"Louisville, KY",1906,Cream of Song,-85.75,38.25
1909-Briefh-UKY,Round,"Winston-Salem, NC",1909,A Brief History of the Moravian Church,-80.2333,36.0833
1915-Soulst-UKY,Seven-shape Aikin,"Nashville, TN",1915,Soul Stirring Songs,-86.761,36.154
1919-Navyso-UKY,Round,"Washington, D. C.",1919,Navy Song Book,-77,38.8333
1921-Waveso-UKY,,"Kansas City, MO",1921,Waves of Glory Number Two,-94.5667,39.0833
1875-Choira-UKY,Round,"Cincinnati, OH;Chicago, IL",1875,The Choir and Congregation,-84.45;-87.65,39.15;41.85
1882-Christ-UKY,Round,"St. Louis, MO",1882,The Christian Hymnal : Revised,-90.1833,38.6167
1885-Christ-UKY,Nil,"Kansas City, MO",1885,The Christian Hymnal : Revised,-94.5667,39.0833
1898-Crowni-UKY,Round,"Dayton, VA",1898,Crowing Day No. 3,-78.9333,38.4
1901-Planta-UKY,Round,New York,1901,Plantation Melodies Old and New,-74,40.7
1908-Crowni-UKY-deprecated,,nan,nan,,0,0
1911-Neweva-UKY,Round,"Dallas, TX",1911,The New Evangel,-96.8,32.7833
1917-Nobody-UKY,Round,"New York, NY",1917,Nobody Knows de Trouble I've Seen,-74,40.7
1918-Bigqua-UKY,Seven-shape Aikin,"Dalton, GA; Dallas, TX; Chattanooga, TN",1918,The Big Quartet Book,-84.9667;-96.8;-85.3,34.7667;32.7833;35.0333
1918-ChantN-UKY,Round,"New York, NY",1918,Chant,-73.9667,40.7833
1919-Things-UKY,Round,"New York, NY",1919,Things Up Yonder White As Snow,-73.9667,40.7833
1924-Fiftye-UKY,Round,"Boston, MA",1924,Fifty-Eight Spirituals for Choral Use,-71.05,42.35
1925-Twelve-UKY,Round;Tonic sol-fa,"London, England",1925,Twelve Negro Spiritual Songs,-.093145,51.514248
1926-Dontle-UKY,Round,"New York, NY",1926,Don't Leave Me Lawd [and] I Love Mary,-74,40.7
192x-Wonder-UKY,Seven-shape Aikin,"Nashville, TN",192x,Wonderful Songs,-86.761,36.154
1877-Choice-UKY,Nil,"Wayne, WV",1877,A Choice Selection of Hymns and Spiritual Songs,-82.4333,38.2167
1878-Gabrie-UKY,Seven-shape Aikin,"Singer's Glen, VA",1878,Gabriel's Sunday-School Songs No. 1,-78.9,38.55
1881-Crowno-UKY,Seven-shape Aikin,"Boston, MA; New York, NY; Chicago, IL; Philadelphia, PA",1881,The Crown of Praise,-71.05;-74;-87.65;-75.15,42.35;40.7;41.85;39.95
1883-Christ-UKY,Round,"St. Louis, MO",1884,The Christian Sunday School Hymnal,-90.1833,38.6167
1892-Founta-UKY,Seven-shape Aikin,"Dayton, VA",1892,Fountain of Praise,-78.9333,38.4
1895-Christ-UKY,Round,"Dayton, OH",1895,Christmas Crowns,-84.1833,39.75
1907-Fiftyt-UKY,Nil,"Cincinnati, OH; New York, NY",1907,Fifty-Two Memory Hymns,-84.45;-74,39.15;40.7
1908-Crowni-UKY,Round,"Dayton, VA",1908,Crowning Day 1?€?6 Combined,-78.9333,38.4
1911-Greate-UKY,Seven-shape Aikin,"Glencoe, KY",1911,Greatest Hymns,-84.8167,38.7
1916-Golden-UKY,Seven-shape Aikin,"Lawrenceburg, TN",1916,Golden Gospel Bells,-87.3333,35.2333
1916-Gospel-UKY,Round,"Wilmington, DE",1916,The Gospel Echo,-75.5333,39.7333
1922-Firstb-UKY,Round,"New York, NY; Cincinnati, OH",1925,A First Book in Hymns and Worship,-74;-84.45,40.7;39.15
1873-Hermon-UKY,Round,"New York, NY; Nashville, TN",1873,Hermon,-74;-86.761,40.7;36.154
1879-Joytow-UKY,Round,"Cincinnati, OH; Chicago, IL; St. Louis, MO; New York, NY",1879,Joy to the World,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1881-Greatj-UKY,Round,"Cincinnati, OH",1881,Great Joy!,-84.45,39.15
1882-Hourso-UKY,Seven-shape Aikin,"Dayton, VA",1882,Hours of Singing,-78.9333,38.4
1884-Gospel-UKY,Round,"Baltimore, MD",1884,Gospel Light for the Sunday School,-76.6,39.2833
1887-Harves-UKY,Round,"Cincinnati, OH",1887,Harvest Bells No. 3,-84.45,39.15
1889-Neuekl-UKY,,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY;Boston, MA;Pittsburg, PA;San Francisco, CA",1889,Der Neue Kleine Psalter,-84.45;-87.65;-90.1833;-74;-71.05;-79.9833;-122.4167,39.15;41.85;38.6167;40.7;42.35;40.4333;37.7667
1890-Evange-UKY,Round,"St. Louis, MO",1890,Evangelisches Gesangbuch,-90.1833,38.6167
1892-Garner-UKY,Round,"Cincinnati, OH;Chicago, IL;New York, NY",1892,Garnered Gems Sunday-School Song,-84.45;-87.65;-74,39.15;41.85;40.7
1894-Himnar-UKY,,"New York, NY",1894,El Himnario Evangelico,-74,40.7
1901-Hymnso-UKY,Round,"Dayton, OH;Chicago, IL",1901,Hymns of Faith and Praise,-84.1833;-87.65,39.75;41.85
1903-Joyful-UKY,Seven-shape Aikin,"Douglasville, GA",1903,Joyful Lays,-84.7333,33.75
1910-Gospel-UKY,Round,"Cincinnati, OH",1910,The Gospel Message in Song,-84.45,39.15
1911-Hymnso-UKY,Round,"Cincinnati, OH",1911,Hymns of Hope,-84.45,39.15
1924-Fullgo-UKY,Round;Seven-shape Aikin,"Chicago, IL",nan,Full Gospel Songs,-87.65,41.85
1859-Pastor-UKY,Round,"Philadelphia, PA",1859,A Pastor's Selection of Hymns and Tunes,-75.15,39.95
1874-Palmer-UKY,Round,"Cincinnati, OH;Chicago, IL",1874,Palmer's Songs of Love,-84.45;-87.65,39.15;41.85
1879-Newcho-UKY,Round,"Cincinnati, OH; Chicago, IL",1879,The New Choir and Congregation,-84.45;-87.65,39.15;41.85
1880-Sharon-UKY,,"Dayton, VA",1880,Sharon's Dewy Rose,-78.9333,38.4
1886-Newsta-UKY,Seven-shape Aikin,"Dayton, VA",1886,The New Starry Crown,-78.9333,38.4
1887-NewChr-UKY,Round,"Cincinnati, OH",1887,New Christian Hymn and Tune-Book,-84.45,39.15
1891-Perenn-UKY,Round,"Dalton, GA; Appleton City, MO; Huntingdon, PA",1891,Perennial Songs,-84.9667;-94.0167;-78,34.7667;38.1833;40.4833
1894-Newlif-UKY,Round,"Nashville, TN",1892,New Life,-86.761,36.154
1895-Newtun-UKY,Round,"Baltimore, MD",1895,New Tunes for Choirs,-76.6,39.2833
1899-Notes1-UKY,Round,"Cincinnati, OH",1899,Notes of Gladness,-84.45,39.15
1907-NewChr-UKY,Round,"Nashville, TN",1907,The New Christian Hymn Book,-86.761,36.154
1925-Realiz-UKY,Round,"Portland, OR",1925,The Realization Song Book,-122.6667,45.5167
1853-Prairi-UKY,Round,"Cincinnati, OH; New York, NY",1853,The Prairie Vocalist,-84.45;-74,39.15;40.7
1851-Christ-UMI,Seven-shape Aikin,"Philadelphia, PA;Lancaster, PA;New York, NY;Boston, MA;Cincinnati, OH;Columbus, OH;Wheeling, VA",1851,The Christian Minstrel,-75.15;-76.3;-74;-71.05;-84.45;-82.9833,39.95;40.0333;40.7;42.35;39.15;39.95
1858-Harmon-UMI,Seven-shape Funk,"Mountain Valley, VA",1858,Harmonia Sacra,-79.7,36.7667
1858-Jubile-UMI,,"New York, NY",1858,The Jubilee,-74,40.7
1861-Soldie-UMI,Nil,"Philadelphia, PA",1861,The Soldier's Pocket-Book,-75.15,39.95
1867-Slaves-UMI,Round,"New York, NY",1867,Slave Songs of the United States,-74,40.7
1871-Harmon-UMI,Seven-shape Funk,"Singers Glen, VA",1871,The Harmonia Sacra,-78.9,38.55
1872-Brethr-UMI,Seven-shape Funk,"Singers Glen, VA;Dale City, PA",1872,The Brethren's Tune and Hymn Book,-78.9,38.55
1872-Jubile-UMI,Round,"New York, NY;Chicago, IL",1872,Jubilee Songs,-74;-87.65,40.7;41.85
1878-Himnar-UMI,,Mexico,1878,Himnario de las Iglesias Evangelicas,-102,23
1878-Keepin-UMI,Round,"Cincinnati, OH",1878,Keep in de Middle ob de Road,-84.45,39.15
1880-Gospel-UMI,Round,"Boston, MA",1880,De Gospel Cars,-71.05,42.35
1880-Dontyo-UMI,Round,"Cincinnati, OH",1880,Don't You Grieve After Me,-84.45,39.15
1880-Risemy-UMI,Round,"Boston, MA",1880,"Rise, My Brothers, Rise!",-71.05,42.35
1880-Waitmy-UMI,Round,"Cincinnati, OH",1880,"Wait, my Children, Wait!",-84.45,39.15
1881-Gospel-UMI,Round,"New York, NY; Chicago, IL; Cincinnati, OH",1881,Gospel Hymns No. 4,-74;-87.65;-84.45,40.7;41.85;39.15
1882-Songso-UMI,Seven-shape Hood,"Philadelphia, PA; Cincinnati, OH",1882,Songs of Redeeming Love,-75.15;-84.45,39.95;39.15
1884-Goodti-UMI,Seven-shape Aikin,"Dalton, GA",1884,Good Tidings,-84.9667,34.7667
1884-Select-UMI,Round,"Delaware, OH",1884,Selections of Plantation Songs,-83.0667,40.2833
1887-Gospel-UMI,Round,"New York, NY; Chicago, IL; Cincinnati, OH",1887,Gospel Hymns No. 5,-74;-87.65;-84.45,40.7;41.85;39.15
1894-Spirit-UMI,Round;Seven-shape Aikin,"Cincinnati, OH",1894,The Spiritualists' Hymnal,-84.45,39.15
1895-Gospel-UMI,Round,"New York, NY",1895,De Gospel Fair,-74,40.7
1897-Songso-UMI,Round,"Cincinnati, OH; Chicago, IL; St. Louis, MO; New York, NY; Boston, MA; Pittsburg[h], PA; San Francisco, CA",1897,Songs of the Soul No. 2,-84.45;-87.65;-90.1833;-74;-71.05;-79.9833;-122.4167,39.15;41.85;38.6167;40.7;42.35;40.4333;37.7667
1898-Chorus-UMI,Round,"New York, NY; Boston, MA; Pittsburg[h], PA; Detroit, MI; San Francisco, CA; Cincinnati, OH; Chicago, IL; St. Louis, MO;",1898,The Chorus of Praise,-74;-71.05;-79.9833;-83.0333;-122.4167;-84.45;-87.65;-90.1833,40.7;42.35;40.4333;42.3167;37.7667;39.15;41.85;38.6167
1850-Southe-EMU,Four-shape,"Philadelphia, PA; Spartanburg, SC",1850,"The Southern Harmony, and Musical Companion",-75.15;-81.9167,39.95;34.9333
1853-Americ-EMU,Four-shape,"Cincinnati, OH",1853,The American Church Harp,-84.45,39.15
1872-Palmer-EMU,Round,"Cincinnati, OH",1872,Palmer's Normal Collection of Sacred Music,-84.45,39.15
1875-Collec-EMU,Nil,"Nashville, TN",1875,"A Collection of Hymns for Public Social, and Domestic Worship",-86.761,36.154
1877-Royalf-EMU,Round,"St. Louis, MO",1877,The Royal Favorite,-90.1833,38.6167
1879-Carmin-EMU,Round,"Baltimore, MD; Philadelphia, PA",1879,Carmina Ecclesi??,-76.6;-75.15,39.2833;39.95
1884-Beauty-EMU,Round,"Cincinnati, OH",1884,The Beauty of Praise,-84.45,39.15
1884-Gemsof-EMU,Nil,"Baltimore, MD",1884,Gems of Gospel Songs,-76.6,39.2833
1884-Jesus2-EMU,Round,"Cincinnati, OH; New York, NY",1884,Jesus of Nazareth in Prophecy and Fulfillment,-84.45;-74,39.15;40.7
1886-Newli2-EMU,Round,"Nashville, TN",1885,New Life No. 2,-86.761,36.154
1887-Battle-EMU,Round,"Cincinnati, OH",1887,The Battle Cry,-84.45,39.15
1887-Dainty-EMU,Round,"Cincinnati, OH;New York, NY;Chicago, IL",1887,Dainty Songs,-84.45;-74;-87.65,39.15;40.7;41.85
1887-Gladev-EMU,Seven-shape Aikin,"Dalton, GA",1887,The Glad Evangel,-84.9667,34.7667
1887-Glorya-EMU,Numeral staff,"Cincinnati, OH",1887,Glory and Praise,-84.45,39.15
1887-Harves-EMU,Seven-shape Aikin,"Cincinnati, OH",1887,Harvest Bells No. 1,-84.45,39.15
1887-Loving-EMU,Round,"St. Louis, MO",1887,Loving Voices,-90.1833,38.6167
192x-Worsh1-EMU,Round,"Cincinnati, OH",188x,Worship and Camp Songs,-84.45,39.15
1890-Pearls-EMU,Seven-shape Aikin,"Dayton, VA",1890,Pearls of Truth,-78.9333,38.4
1890-Anthem-EMU,Round,"Dalton, GA",1890,The People's Anthems,-84.9667,34.7667
1892-Gospel-EMU,Seven-shape Aikin,nan,nan,,0,0
1892-Songla-EMU,Round,"Dallas, Texas",1892,Song-Land Messenger,-96.8,32.7833
1893-Hymnst-EMU,Nil,"Richmond, VA",1893,Hymns to the Holy Spirit,-77.45,37.55
1894-Sunshi-EMU,Round,"Baltimore, MD",1894,Sunshine and Flowers,-76.6,39.2833
1895-Caroli-EMU,Round;Seven-shape Aikin,"Statesville, NC",1895,Carolina Harmony,-80.8833,35.7667
1895-Celest-EMU,Round,"Nashville, TN",1895,"Celestial Showers, No. 1",-86.761,36.154
1896-Bellso-EMU,Seven-shape Aikin,"Waco, TX",1896,Bells of Heaven,-97.1333,31.5333
1896-Bestst-EMU,Round,"Richmond, VA",1896,The Best Standard Songs,-77.45,37.55
